Date,Parent,New Stock,Parent Company,New Company,Spinoff_Year
"Feb 2, 2021",VRNT,CGNT,Verint Systems Inc,Cognyte Software Ltd.,2021
"Dec 15, 2022",BEAM2,MBC,Beam Inc,Masterbrand Inc,2022
"Dec 12, 2022",BNT,BAM,Brookfield Wealth Solutions Ltd.,Brookfield Asset Management Ltd.,2022
"Dec 12, 2022",BN,BAM,Brookfield Corp,Brookfield Asset Management Ltd.,2022
"Nov 30, 2022",SAFE,SAFE2,Safehold Inc,Safehold Inc,2022
"Nov 10, 2022",UHAL,UHAL.B,U-haul Holding Co.,U-haul Holding Co.,2022
"Nov 1, 2022",XPO,RXO,Xpo Inc,Rxo Inc,2022
"Oct 7, 2022",LGL,MPTI,Lgl Group Inc,M-tron Industries Inc,2022
"Oct 6, 2022",BRG,BHM,Bluerock Residential Growth Reit Inc,Bluerock Homes Trust Inc,2022
"Oct 4, 2022",BHVN1,BHVN,Biohaven Pharmaceutical Holding Co Ltd.,Biohaven Ltd.,2022
"Oct 3, 2022",ADEA,XPER,Adeia Inc,Xperi Inc,2022
"Aug 22, 2022",AMC,APE,Amc Entertainment Holdings Inc,Amc Entertainment Holdings Inc,2022
"Aug 2, 2022",FTAI,FIP,Ftai Aviation Ltd.,Ftai Infrastructure Inc,2022
"Jul 22, 2022",GSK,HLN,Gsk PLC,Haleon PLC,2022
"Jul 1, 2022",EHC,EHAB,Encompass Health Corp,Enhabit Inc,2022
"Jun 30, 2022",BBIG,ORBS,Vinco Ventures Inc,Eightco Holdings Inc,2022
"Jun 8, 2022",AIFU,CNF,Aifu Inc,Cnfinance Holdings Ltd.,2022
"Jun 2, 2022",BHP,WDS,Bhp Group Ltd.,Woodside Energy Group Ltd.,2022
"Apr 11, 2022",T,WBD,At&t Inc,Warner Bros Discovery Inc,2022
"Apr 5, 2022",ENOV,ESAB,Enovis Corp,Esab Corp,2022
"Apr 1, 2022",BDX,EMBC,Becton Dickinson & Co.,Embecta Corp,2022
"Mar 15, 2022",BBU,BBUC1,Brookfield Business Corp,Brookfield Business Holdings Corp,2022
"Mar 11, 2022",POST,BRBR,Post Holdings Inc,Bellring Brands Inc,2022
"Mar 1, 2022",ZBH,ZIMV,Zimmer Biomet Holdings Inc,Zimvie Inc,2022
"Jan 3, 2022",CNH,IVCGF,Cnh Industrial Nv,Iveco Group,2022
"Dec 1, 2023",WOR,WS,Worthington Enterprises Inc,Worthington Steel Inc,2023
"Oct 17, 2023",VYX,NATL,Ncr Voyix Corp,Ncr Atleos Corp,2023
"Oct 4, 2023",NVS,SDZNY,Novartis Ag,Sandoz Group Ag,2023
"Oct 4, 2023",LAR,LAC,Lithium Argentina Ag,Lithium Americas Corp,2023
"Oct 2, 2023",K,KLG,Kellanova,Wk Kellogg Co.,2023
"Oct 2, 2023",DHR,VLTO,Danaher Corp,Veralto Corp,2023
"Oct 2, 2023",ARMK,VSTS,Aramark,Vestis Corp,2023
"Sep 28, 2023",OLOX,RENX,Olenox Industries Inc,Renx Enterprises Corp,2023
"Sep 8, 2023",LVO,PODC,Liveone Inc,Podcastone Inc,2023
"Aug 29, 2023",CBDBY,EXTOY,Brazilian Distribution Co Companhia Brasileira De Distr Cbd,Almacenes Exito SA,2023
"Aug 4, 2023",LSXMK,LLYVK,Liberty Media Corp,Liberty Media Corp,2023
"Aug 4, 2023",LSXMA,LLYVA,Liberty Media Corp,Liberty Media Corp,2023
"Aug 4, 2023",FWONK,LLYVK,Liberty Media Corp,Liberty Media Corp,2023
"Aug 4, 2023",FWONA,LLYVK,Liberty Media Corp,Liberty Media Corp,2023
"Jul 19, 2023",FWONK,BATRK,Liberty Media Corp,Atlanta Braves Holdings Inc,2023
"Jul 19, 2023",FWONA,BATRK,Liberty Media Corp,Atlanta Braves Holdings Inc,2023
"Jul 5, 2023",BWA,PHIN,Borgwarner Inc,Phinia Inc,2023
"Jul 3, 2023",LH,FTRE,Labcorp Holdings Inc,Fortrea Holdings Inc,2023
"Jun 22, 2023",METC,METCB,Ramaco Resources Inc,Ramaco Resources Inc,2023
"Jun 22, 2023",IMPP,CISS,Imperial Petroleum Inc/marshall Islands,C3is Inc,2023
"Jun 1, 2023",MDU,KNF,Mdu Resources Group Inc,Knife River Corp,2023
"May 24, 2023",WKEY,LAES,Wisekey International Holding SA,Sealsq Corp,2023
"Apr 21, 2023",SPHR,MSGE,Sphere Entertainment Co.,Madison Square Garden Entertainment Corp,2023
"Apr 4, 2023",CXT,CR,Crane Nxt Co.,Crane Co.,2023
"Mar 31, 2023",SAFE,STHO,Safehold Inc,Star Holdings,2023
"Mar 8, 2023",CTRM,TORO,Castor Maritime Inc,Toro Corp,2023
"Jan 17, 2023",JEF,VTS,Jefferies Financial Group Inc,Vitesse Energy Inc,2023
"Jan 16, 2023",ALKS,MURA,Alkermes PLC,Mural Oncology PLC,2023
"Jan 4, 2023",GE,GEHC,Ge Aerospace,Ge Healthcare Technologies Inc,2023
"Nov 26, 2024",SEM,CON,Select Medical Holdings Corp,Concentra Group Holdings Parent Inc,2024
"Nov 13, 2024",LBTYB,SNREY,Liberty Global Ltd.,Sunrise Communications Ag,2024
"Nov 13, 2024",LBTYA,SNREY,Liberty Global Ltd.,Sunrise Communications Ag,2024
"Nov 5, 2024",BERY,MAGN,Berry Global Group Inc,Magnera Corp,2024
"Nov 1, 2024",MDU,ECG,Mdu Resources Group Inc,Everus Construction Group Inc,2024
"Oct 2, 2024",TRP,SOBO,Tc Energy Corp,South Bow Corp,2024
"Oct 1, 2024",SITC,CURB,Site Centers Corp,Curbline Properties Corp,2024
"Sep 30, 2024",J,AMTM,Jacobs Solutions Inc,Amentum Holdings Inc,2024
"Sep 10, 2024",STRZA,SIRI,Starz,Sirius Xm Holdings Inc,2024
"Aug 1, 2024",HHH,SEG,Howard Hughes Holdings Inc,Seaport Entertainment Group Inc,2024
"Jul 10, 2024",AFCG,SUNS,Advanced Flower Capital Inc,Sunrise Realty Trust Inc,2024
"Jun 25, 2024",ILMN,GRAL,Illumina Inc,Grail Inc,2024
"May 30, 2024",INBX1,INBX,Inhibrx Inc,Inhibrx Biosciences Inc,2024
"Apr 15, 2024",TORO,RBNE,Toro Corp,Robin Energy Ltd.,2024
"Apr 2, 2024",GE,GEV,Ge Aerospace,Ge Vernova Inc,2024
"Apr 1, 2024",MMM,SOLV,3m Co.,Solventum Corp,2024
"Jan 3, 2024",FLEX,NXT,Flex Ltd.,Nextpower Inc,2024
"Dec 8, 2025",UL,MICC,Unilever PLC,Magnum Ice Cream Co Nv,2025
"Nov 26, 2025",LBRDA,GLIBR,Liberty Broadband Corp,Gci Liberty Inc,2025
"Nov 26, 2025",GLIBK,GLIBR,Gci Liberty Inc,Gci Liberty Inc,2025
"Nov 3, 2025",DD,Q,Dupont De Nemours Inc,Qnity Electronics Inc,2025
"Oct 30, 2025",HON,SOLS,Honeywell International Inc,Solstice Advanced Materials Inc,2025
